question,answer
"A university wants to connect all its faculty buildings across a large campus within the same city into a single network. Based on geographical coverage, which type of network is most appropriate?",metropolitan area network
______ megabytes(MBs) are in one gigabyte.,1024
The part of the computer responsible for data processing function is called_______,central processing unit
What device is required when transmitting computer data over a telephone line?,modem
A _________ is a structured collection of related data stored electronically for easy management of information,database
____________control the exchange of information between the network and the computer,network interface card
The global system of interconnected computer networks is called____________,internet
Which software phase involves fixing bugs and updating code after release?,maintenance
___________ is the process of verifying that a program works correctly and is bug-free.,software testing
The process of identifying (finding) and correcting (fixing) errors in a computer program is called ________,debugging
An early working model (version) of a software application built to test a design concept is called,prototype
A person who uses a software product is called ____,end user
"_________ is a raw facts, figures, and symbols about an entity.",data
How many bytes are in a gigabyte?,1 billion
A collection of related fields describing a real-world entity is called ___________,record
_______ is a data that has been processed into a meaningful form,information
Which characteristic of information ensures that it is available when needed for decision-making?,timeliness
Which method of data processing uses computers to automatically process data?,electronic processing
A _______ data processing technique collects transactions over a period and processes them together at a later time?,batch
A check performed to ensure that a value falls within specified limits is known as __________,range check
A company needs to connect two networks that use completely different communication protocols. Which device is most suitable?,gateway
"A _____ connects similar networks, while a ______connects incompatible networks (separate answers with a “/”)",bridge/gateway
__________ is required when transmitting computer data over a telephone line because Telephone lines transmit analog signals while computers process digital data.,modem 
"In a_________ transmission/communication system, data transmission occurs in both directions, but not at the same time.",half-duplex
A walkie-talkie is an example of which mode of data transmission _____________,half-duplex
A ___________ conversation is an example of a full-duplex communication system.,telephone
_______ is generally preferred over __________for short-distance communication because it transmits multiple bits simultaneously (seperate answers with “/”),parallel transmission/serial transmission
"In ___________transmission, the sender and receiver use synchronized clocks.",synchronous serial 
A _________ reduces communication costs primarily by combining data from multiple channels onto a single transmission line.,multiplexor
"In the basic elements of a communication system, the set of rules governing data communication is known as ________",protocol
The ___________ processing technique that is prone to human error.,manual data
Verifying a user's identity before granting access is called ____.,authentication
A separate copy of data kept for emergency recovery is called ____,backup
Removing errors and inconsistencies from a database is called ____,data cleaning
A processed and structured data is called ____.,information
A single horizontal row in a database is called ____,record
CAPTCHA stand for ______________,completely automated public turing test to tell computers and humans apart.
Which country won the 2025 FIFA U-17 World Cup tournament?  ,portugal
In which sport is Tobi Amusan internationally recognized?,100 meter hurdles
What is Nigeria’s longest running music award body called?,the headies
Name the current Secretary-General of the United Nations.,antónio guterres
What date did Nigeria become a republic?,1-Oct-63
Which Nigerian state has the highest number of local government areas?,kano
What is the name of the legislative building where Nigeria's National Assembly meets?,national assembly complex
Which company developed the ChatGPT system?,open ai
Which country hosts the headquarters of the United Nations?,united state
Which African country has the largest population?,nigeria
How many states are there in Nigeria?,36
Who is the current Chief Justice of Nigeria?,justice kudirat kekere-ekun
Which Nigerian agency is responsible for combating financial crimes?,efcc
Which Nigerian institution is responsible for university accreditation?,nigeria university commission
What significant event happened in Benin city in 1897?,benin invasion by britain
How many geopolitical zones does Nigeria have?,6
How many local governments are in Edo State?,18
What is the name of the Dean of the Faculty of Computing?,prof. (mrs.) v. v. n. akwukwuma
What is the umbrella body for computing professionals in Nigeria?,nigeria computer society
_______ is a program written by a programmer in a high-level programming language.,source code
GUI stands for ___________,graphical user interface
A ________ is a group of 16 bits or 2 bytes,word
ASCII stands for _________________,american standard code for information interchange
__________ is a computer that provides data or services to other computers.,server
________is a secret string of characters used to log into an account,password
________ is a utility program that detects viruses and removes it.,antivirus
_______ is the buying and selling goods or services online,e-commerce
The purpose of _______ is to find one's exact location anywhere on Earth.,gps
_________ is the means of saving a file from the internet onto a local device.,downloading 
The _________ and ______ are the houses that form Nigeria's national assembly (separate with a “/”),senate /house of representatives
___________ is the executive head of the local government area,local government chairman
___________ is the highest court of law in Nigeria.,supreme court
___________ presides over meetings in the Nigerian Red chamber of the legislative arm of Nigeria government.,senate president
The law-making body at the state level is called ____________,state house of assembly
Who is the current Vice Chancellor of UNIBEN?,prof. edoba bright omoregie (san)
In what year was University of Benin founded?,1970
What is the official motto of UNIBEN?,knowledge for service
The UNIBEN main library in Ugbowo campus is called ____________,john harris library
Who is the current dean of students?,prof. f.o. ekhaise
The names of current HODs of Information Technology and Cybersecurity are ___________ and ____________ respectively. (separate with “/”),prof. (mrs) osubor/prof. (mrs) egwali
The names of current HODs of Data Science and ICT are ___________ and ____________ respectively.(separate with “/”),prof. (mrs) koneha/prof. amadin
The names of current HODs of Software Engineering and Computer Science are ___________ and ____________ respectively.(separate with “/”),dr. aziken/dr. usiobaifo
_______is the ceremonial hall in UNIBEN (Ugbowo campus).,akin deko hall
The names of current HODs of Data Science and ICT are ___________ and ____________ respectively.(separate with “/”),prof (mrs) koneha/prof amadin
The names of current HODs of Software Engineering and Computer Science are ___________ and ____________ respectively.(separate with “/”),dr. aziken/dr. usiobaifo
_______is the ceremonial hall in UNIBEN (Ugbowo campus).,akin deko hall
